image,text
data/raw/synthetic/synthetic_011.png,سچائی ہمیشہ کامیاب ہوتی ہے
data/raw/synthetic/synthetic_012.png,محبت سے دل جیتے جاتے ہیں
data/raw/synthetic/synthetic_013.png,خوشی بانٹنے سے بڑھتی ہے
data/raw/synthetic/synthetic_014.png,دوستی ایک انمول رشتہ ہے
data/raw/synthetic/synthetic_015.png,امن دنیا کی سب سے بڑی ضرورت ہے
data/raw/synthetic/synthetic_016.png,درخت ہمیں آکسیجن دیتے ہیں
data/raw/synthetic/synthetic_017.png,بارش کے بعد موسم خوشگوار ہو جاتا ہے
data/raw/synthetic/synthetic_018.png,بچے ملک کا مستقبل ہیں
data/raw/synthetic/synthetic_019.png,استاد قوم کے معمار ہوتے ہیں
data/raw/synthetic/synthetic_020.png,صبر کا پھل میٹھا ہوتا ہے
data/raw/synthetic/synthetic_031.png,زندگی ایک سفر ہے
data/raw/synthetic/synthetic_032.png,خواب دیکھنا آسان ہے، پورا کرنا مشکل
data/raw/synthetic/synthetic_033.png,قوم کی تعمیر تعلیم سے ہوتی ہے
data/raw/synthetic/synthetic_034.png,دریا کا پانی صاف اور ٹھنڈا ہے
data/raw/synthetic/synthetic_035.png,بازار میں بہت رش تھا
data/raw/synthetic/synthetic_036.png,کھیل انسان کی صحت کے لیے اچھے ہیں
data/raw/synthetic/synthetic_037.png,شہر کی رات بہت روشن تھی
data/raw/synthetic/synthetic_038.png,کسان صبح سویرے کھیت جاتا ہے
data/raw/synthetic/synthetic_039.png,موسیقی دل کو سکون دیتی ہے
data/raw/synthetic/synthetic_040.png,پہاڑوں کا نظارہ دلکش تھا
data/raw/synthetic/synthetic_041.png,مہمان نوازی ہماری ثقافت کا حصہ ہے
data/raw/synthetic/synthetic_042.png,کتابیں علم کا خزانہ ہیں
data/raw/synthetic/synthetic_043.png,بچوں کی تربیت والدین کی ذمہ داری ہے
data/raw/synthetic/synthetic_044.png,سردیوں میں دھوپ اچھی لگتی ہے
data/raw/synthetic/synthetic_045.png,انصاف سب کے لیے برابر ہونا چاہیے
data/raw/synthetic/synthetic_046.png,محنتی لوگ ہمیشہ کامیاب ہوتے ہیں
data/raw/synthetic/synthetic_047.png,دوستی میں خلوص ہونا چاہیے
data/raw/synthetic/synthetic_048.png,وقت پر کام کرنا عادت بنائیں
data/raw/synthetic/synthetic_049.png,ماں کی دعا سب سے بڑی نعمت ہے
data/raw/synthetic/synthetic_050.png,علم حاصل کرنے کی کوئی عمر نہیں ہوتی
data/raw/synthetic/synthetic_051.png,بہار کا موسم سب کو پسند ہے
data/raw/synthetic/synthetic_052.png,صفائی نصف ایمان ہے
data/raw/synthetic/synthetic_053.png,غریبوں کی مدد کرنی چاہیے
data/raw/synthetic/synthetic_054.png,استقامت کامیابی کی کنجی ہے
data/raw/synthetic/synthetic_055.png,پرندے آسمان میں اڑ رہے تھے
data/raw/synthetic/synthetic_056.png,سچ بولنا ہمیشہ بہتر ہوتا ہے
data/raw/synthetic/synthetic_057.png,نیکی کا صلہ ضرور ملتا ہے
data/raw/synthetic/synthetic_058.png,ہر مشکل کا حل موجود ہوتا ہے
data/raw/synthetic/synthetic_059.png,خوش رہنا ایک انتخاب ہے
data/raw/synthetic/synthetic_060.png,کامیابی کے لیے صبر ضروری ہے
data/raw/synthetic/synthetic_061.png,علم روشنی ہے اور جہالت اندھیرا
data/raw/synthetic/synthetic_062.png,پھول خوشبو دیتے ہیں
data/raw/synthetic/synthetic_063.png,سورج مشرق سے طلوع ہوتا ہے
data/raw/synthetic/synthetic_064.png,چاند رات کو روشنی دیتا ہے
data/raw/synthetic/synthetic_065.png,بادل آسمان پر چھائے ہوئے تھے
data/raw/synthetic/synthetic_066.png,ندی کا بہاؤ تیز تھا
data/raw/synthetic/synthetic_067.png,جنگل میں بہت درخت تھے
data/raw/synthetic/synthetic_068.png,پہاڑ بہت اونچے تھے
data/raw/synthetic/synthetic_069.png,سمندر کی لہریں اونچی تھیں
data/raw/synthetic/synthetic_070.png,ہوا ٹھنڈی اور خوشگوار تھی
data/raw/synthetic/synthetic_071.png,برف باری شروع ہو گئی
data/raw/synthetic/synthetic_072.png,مکان کی چھت پکی تھی
data/raw/synthetic/synthetic_073.png,دروازہ لکڑی کا بنا تھا
data/raw/synthetic/synthetic_074.png,کھڑکی سے روشنی آ رہی تھی
data/raw/synthetic/synthetic_075.png,باغ میں رنگ برنگے پھول تھے
data/raw/synthetic/synthetic_076.png,پرندے صبح گاتے ہیں
data/raw/synthetic/synthetic_077.png,مچھلیاں پانی میں تیرتی ہیں
data/raw/synthetic/synthetic_078.png,بلی چھت پر بیٹھی تھی
data/raw/synthetic/synthetic_079.png,کتا گھر کی رکھوالی کرتا ہے
data/raw/synthetic/synthetic_080.png,گھوڑا میدان میں دوڑ رہا تھا
data/raw/other/ءاس.png,ءاس
data/raw/other/ءاسلام.png,ءاسلام
data/raw/other/ءالحق.png,ءالحق
data/raw/other/ءالدین.png,ءالدین
data/raw/other/ءمیر.png,ءمیر
data/raw/other/ءمیں.png,ءمیں
data/raw/other/ءمےں.png,ءمےں
data/raw/other/ءنافذ.png,ءنافذ
data/raw/other/ءنے.png,ءنے
data/raw/other/ءو.png,ءو
data/raw/other/ءوالی.png,ءوالی
data/raw/other/ءوعدوں.png,ءوعدوں
data/raw/other/ءوفاقی.png,ءوفاقی
data/raw/other/ءہی.png,ءہی
data/raw/other/ءیونینز.png,ءیونینز
data/raw/other/اجتحاج.png,اجتحاج
data/raw/other/اجنا.png,اجنا
data/raw/other/اجناس.png,اجناس
data/raw/other/اجنالہ.png,اجنالہ
data/raw/other/اجنب.png,اجنب
data/raw/other/اجنبی.png,اجنبی
data/raw/other/اجنبیت.png,اجنبیت
data/raw/other/اجنبیوں.png,اجنبیوں
data/raw/other/اجنتا.png,اجنتا
data/raw/other/اجنتاب.png,اجنتاب
data/raw/other/اجنسی.png,اجنسی
data/raw/other/اجنکا.png,اجنکا
data/raw/other/اجنکیا.png,اجنکیا
data/raw/other/اجنکیے.png,اجنکیے
data/raw/other/اجو.png,اجو
data/raw/other/اجود.png,اجود
data/raw/other/اجودھیا.png,اجودھیا
data/raw/other/اجول.png,اجول
data/raw/other/اجون.png,اجون
data/raw/other/اجوکا.png,اجوکا
data/raw/other/آؤ.png,آؤ
data/raw/other/آؤلی.png,آؤلی
data/raw/other/آؤلیاں.png,آؤلیاں
data/raw/other/آؤلے.png,آؤلے
data/raw/other/آئی.png,آئی
data/raw/other/آئیزومر.png,آئیزومر
data/raw/other/آئیسنگ.png,آئیسنگ
data/raw/other/آئینہ.png,آئینہ
data/raw/other/آئینہ_بیں.png,آئینہ_بیں
data/raw/other/آئینہ_دار.png,آئینہ_دار
data/raw/other/آئینی.png,آئینی
data/raw/other/آئینیات.png,آئینیات
data/raw/other/آئیڈیا.png,آئیڈیا
data/raw/other/آئیگی.png,آئیگی
data/raw/other/آئےتن.png,آئےتن
